,Python/is_empty1,Python/is_empty2,C++/is_empty_spot29,C++/is_empty_atva19,C++/is_empty_spot28,C++/old_is_empty,/result,aut/states,aut/edges,aut/sccs,aut/ntsccs,aut/nrsccs,aut/nrstates,aut/sets,aut/acc,/bench
32,0.15808108350029215,0.0785115996026434,0.017879451750195584,0.017789096551132387,0.017732259098556823,0.2305959440418519,TTTTTT,51,965,3,2,2,50,4,(Inf(0) | Fin(1)) & Fin(2) & Inf(3),ltlcross
33,0.16032893999363296,0.08053832720033824,0.017660995351616294,0.017555736197391526,0.017544785400968977,0.24118979700142518,TTTTTT,52,967,4,3,2,50,4,(Inf(0) | Fin(1)) & Fin(2) & Inf(3),ltlcross
34,0.26398034900194034,0.1852001229999587,0.06443671060260385,0.06413740799762309,0.06394769940525294,0.6068800139473751,TTTTTT,87,1835,5,4,4,86,6,(Inf(0) | Fin(1)) & Inf(2) & (Fin(3)|Fin(4)) & Fin(5),ltlcross
35,0.23271502298302948,0.12532541700056754,0.03091744119883515,0.03088992650154978,0.030567677499493583,0.4333942560479045,TTTTTT,81,1568,3,2,2,80,5,(Inf(0) | Fin(1)) & Fin(2) & (Inf(3) | Fin(4)),ltlcross
36,0.057061003800481555,0.047616332001052794,0.004662370380247012,0.004625447819707915,0.004611550199333578,0.004698059019865468,TTTTTT,1,4,1,1,1,1,6,(Fin(2) | (Inf(0)&Inf(1))) & (Fin(3)|Fin(4)) & Inf(5),ltlcross
37,0.057089112198445945,0.04812829380389303,0.0045770150993485,0.004587454900611192,0.004574673899915069,0.004582096560625359,TTTTTT,1,4,1,1,1,1,6,((Inf(0)&Inf(1)) | Fin(2)) & Inf(5) & (Fin(3)|Fin(4)),ltlcross
38,0.04187573140952736,0.02305461699725129,0.0030269001703709364,0.0028716845397138966,0.0028749690897529943,0.014226218851399608,TTTTTT,3,12,1,1,1,3,5,(Fin(2) | (Inf(0)&Inf(1))) & Fin(3) & Inf(4),ltlcross
39,0.05992216180311516,0.05031103880610317,0.006742662480100989,0.006569568919949234,0.00659475993947126,0.010951558599481359,TTTTTT,1,4,1,1,1,1,7,(Fin(2) | (Inf(0)&Inf(1))) & (Inf(3) | Inf(4)) & (Fin(5)|Fin(6)),ltlcross
40,0.043663625791668895,0.02411008100025356,0.00358100363984704,0.0035557988996151833,0.0035444417799590155,0.017957475798903035,TTTTTT,3,12,1,1,1,3,6,(Fin(2) | (Inf(0)&Inf(1))) & Fin(3) & (Inf(4) | Fin(5)),ltlcross
41,0.10234643550938927,0.07517382180085405,0.00758706740103662,0.007191530240233988,0.00722369252005592,0.017200949598918668,TTTTTT,3,12,2,2,1,2,5,(Inf(0) | Fin(1)) & (Fin(2)|Fin(3)) & Inf(4),ltlcross
42,0.04565944779897109,0.023415701201884076,0.0031166775798192247,0.0029364550899481402,0.0029687982599716635,0.008658175739692525,TTTTTT,4,16,2,2,1,3,4,(Inf(0) | Fin(1)) & Fin(2) & Inf(3),ltlcross
43,0.04529541779775172,0.023344302200712264,0.003102777900057845,0.002964536509825848,0.0029209798498777673,0.008710085519123823,TTTTTT,4,16,2,2,1,3,4,(Inf(0) | Fin(1)) & Fin(2) & Inf(3),ltlcross
44,0.11009960502269678,0.08165836699772626,0.010700938798254355,0.010281331901205703,0.01036229429882951,0.017485538151231595,TTTTTT,3,12,2,2,1,2,6,(Inf(0) | Fin(1)) & (Inf(2) | Inf(3)) & (Fin(4)|Fin(5)),ltlcross
45,0.049356657394673674,0.02566164750023745,0.003832994310068898,0.003833238580264151,0.003735060680191964,0.010550947851152159,TTTTTT,4,16,2,2,1,3,5,(Inf(0) | Fin(1)) & Fin(2) & (Inf(3) | Fin(4)),ltlcross
46,0.06849386860849335,0.05878357560141012,0.006329575759591535,0.00614719778066501,0.00614241278031841,0.008564119199290872,TTTTTT,1,4,1,1,1,1,7,((Fin(0) & Fin(1)) | (Inf(2)&Inf(3))) & (Fin(4)|Fin(5)) & Inf(6),ltlcross
47,0.04364130379399285,0.02412854409776628,0.003196165959816426,0.0030639841803349554,0.003085817950195633,0.015129659150261432,TTTTTT,3,12,1,1,1,3,6,((Fin(0) & Fin(1)) | (Inf(2)&Inf(3))) & Fin(4) & Inf(5),ltlcross
48,0.07108792500803247,0.062008249398786575,0.008799289939925075,0.008481619739905,0.008430374859599396,0.005392385839950293,TTTTTT,1,4,1,1,1,1,8,((Fin(0) & Fin(1)) | (Inf(2)&Inf(3))) & (Inf(4) | Inf(5)) & (Fin(6)|Fin(7)),ltlcross
49,0.04499586640158668,0.024556512996787204,0.0038214346900349483,0.0037781202100450172,0.003771775170462206,0.01901782770000864,TTTTTT,3,12,1,1,1,3,7,((Fin(0) & Fin(1)) | (Inf(2)&Inf(3))) & Fin(4) & (Inf(5) | Fin(6)),ltlcross
50,0.09949403101927601,0.07785917759174481,0.009217866499675438,0.00911416397895664,0.009065386239672079,0.017047904548235238,TTTTTT,2,8,1,1,1,2,6,(Inf(0) | (Fin(1) & Inf(2))) & (Fin(3)|Fin(4)) & Inf(5),ltlcross
51,0.04288216759450734,0.02350121529889293,0.0033556147501803933,0.0032138363999547437,0.003220118639874272,0.01455376154917758,TTTTTT,3,12,1,1,1,3,5,(Inf(0) | (Fin(1) & Inf(2))) & Fin(3) & Inf(4),ltlcross
52,0.10661888451431878,0.08359250340145082,0.012898720600060188,0.01240748364944011,0.012535964749986306,0.0175674219004577,TTTTTT,2,8,1,1,1,2,7,(Inf(0) | (Fin(1) & Inf(2))) & (Inf(3) | Inf(4)) & (Fin(5)|Fin(6)),ltlcross
53,0.04607799919322133,0.02578769869869575,0.004341362880077213,0.004334631119854748,0.004308501580962912,0.01845563274982851,TTTTTT,3,12,1,1,1,3,6,(Inf(0) | (Fin(1) & Inf(2))) & Fin(3) & (Inf(4) | Fin(5)),ltlcross
54,0.046645223803352565,0.02590966069838032,0.00433399998000823,0.004315578161040321,0.004311563599621877,0.018993703997693956,TTTTTT,3,12,1,1,1,3,6,(Inf(0) | (Fin(1) & Inf(2))) & Fin(3) & (Inf(4) | Fin(5)),ltlcross
55,0.12737420698977076,0.11068695748690516,0.01470885710150469,0.01441261955187656,0.014274184149689973,0.005866776320617646,TTTTTT,1,8,1,1,1,1,6,(((Fin(0)|Fin(1)) & Fin(2)) | (Inf(0)&Inf(1)&Inf(2))) & ((Inf(3)&Inf(4)) | Inf(5)) & (Fin(3)|Fin(4)|Fin(5)),ltlcross
56,0.09919048650772311,0.052937363798264414,0.006541251000016928,0.006388252960750834,0.006408964820438996,0.035961077897809446,TTTTTT,8,64,1,1,1,8,5,(((Fin(0)|Fin(1)) & Fin(2)) | (Inf(0)&Inf(1)&Inf(2))) & Fin(3) & Inf(4),ltlcross
57,0.1277401419938542,0.1103146170207765,0.014910263600177132,0.014771393951377831,0.014812478702515364,0.005836391580523923,TTTTTT,1,8,1,1,1,1,9,(((Fin(0)|Fin(1)) & Fin(2)) | (Inf(0)&Inf(1)&Inf(2))) & (Inf(3) | (Inf(4)&Inf(5))) & (Fin(6)|Fin(7)|Fin(8)),ltlcross
58,0.1400459640135523,0.06857462160987779,0.011033282600692473,0.01086983275017701,0.01082512474968098,0.06472936680074781,TTTTTT,14,112,1,1,1,14,6,(((Fin(0)|Fin(1)) & Fin(2)) | (Inf(0)&Inf(1)&Inf(2))) & Fin(3) & (Inf(4) | Fin(5)),ltlcross
59,0.21054927696241066,0.1251931225124281,0.01829484319896437,0.017813182700774633,0.01787710129865445,0.04930283540161327,TTTTTT,7,56,1,1,1,7,5,(Inf(0) | Fin(1)) & ((Inf(2)&Inf(3)) | Inf(4)) & (Fin(2)|Fin(3)|Fin(4)),ltlcross
60,0.10319439150043763,0.05626540860394016,0.007316269360017031,0.007264745840802789,0.007287846679100767,0.03320657360018231,TTTTTT,16,112,2,1,1,15,4,(Inf(0) | Fin(1)) & Fin(2) & Inf(3),ltlcross
61,0.10041244051535614,0.055879323603585364,0.007304627780104056,0.0072011585591826585,0.00726070161908865,0.03617302299826406,TTTTTT,16,112,2,1,1,15,4,(Inf(0) | Fin(1)) & Fin(2) & Inf(3),ltlcross
62,0.21764271898427978,0.1262632424768526,0.019489754349342546,0.018907829400268382,0.018881336448248475,0.048983013397082685,TTTTTT,7,56,1,1,1,7,8,(Inf(0) | Fin(1)) & (Inf(2) | (Inf(3)&Inf(4))) & (Fin(5)|Fin(6)|Fin(7)),ltlcross
63,0.15387071500299498,0.07158290860243141,0.012209767897729762,0.012146104697603733,0.012152242599404417,0.0675308728008531,TTTTTT,26,182,1,1,1,26,5,(Inf(0) | Fin(1)) & Fin(2) & (Inf(3) | Fin(4)),ltlcross
64,0.12572040199302137,0.10912564001046121,0.014875837750150823,0.01458492639940232,0.01461744199914392,0.005843881720211357,TTTTTT,1,8,1,1,1,1,9,(((Fin(0)|Fin(1)) & Fin(2)) | (Inf(3)&Inf(4)&Inf(5))) & ((Inf(6)&Inf(7)) | Inf(8)) & (Fin(6)|Fin(7)|Fin(8)),ltlcross
65,0.09951916799764149,0.054196713608689606,0.006509722500341013,0.006350590559886769,0.006367533300071955,0.036717211100040004,TTTTTT,8,64,1,1,1,8,8,(((Fin(0)|Fin(1)) & Fin(2)) | (Inf(3)&Inf(4)&Inf(5))) & Fin(6) & Inf(7),ltlcross
66,0.12953260549693368,0.11331492598401383,0.01545620164833963,0.015252530449652113,0.015360730100655928,0.00608784148003906,TTTTTT,1,8,1,1,1,1,12,(((Fin(0)|Fin(1)) & Fin(2)) | (Inf(3)&Inf(4)&Inf(5))) & (Inf(6) | (Inf(7)&Inf(8))) & (Fin(9)|Fin(10)|Fin(11)),ltlcross
67,0.11592970651690848,0.09835505939554423,0.012139788598869928,0.011849770750268362,0.011828715898445807,0.00610657493933104,TTTTTT,1,8,1,1,1,1,12,((Fin(0) & (Fin(1)|Fin(2))) | (Inf(3)&Inf(4)&Inf(5))) & ((Inf(6)&Inf(7)) | Inf(8)) & (Fin(9)|Fin(10)|Fin(11)),ltlcross
68,0.14051241951528937,0.06887948920484632,0.011020354699576273,0.010918853399925866,0.011214288300834596,0.06692205920116975,TTTTTT,14,112,1,1,1,14,9,(((Fin(0)|Fin(1)) & Fin(2)) | (Inf(3)&Inf(4)&Inf(5))) & Fin(6) & (Inf(7) | Fin(8)),ltlcross
69,0.28748573997290805,0.1781252679938916,0.029083703499054536,0.02853510090499185,0.028840047999983652,0.05066855980549008,TTTTTT,7,56,1,1,1,7,6,(Inf(0) | (Fin(1) & Inf(2))) & ((Inf(3)&Inf(4)) | Inf(5)) & (Fin(3)|Fin(4)|Fin(5)),ltlcross
70,0.10179490302107297,0.046656771597918124,0.006943334300303832,0.006920331460423768,0.007007091859122738,0.03727906420244835,TTTTTT,14,95,1,1,1,14,5,(Inf(0) | (Fin(1) & Inf(2))) & Fin(3) & Inf(4),ltlcross
71,0.292805683973711,0.17884891599533148,0.030395357398083432,0.02991548620047979,0.029966022400185467,0.05122275239555165,TTTTTT,7,56,1,1,1,7,9,(Inf(0) | (Fin(1) & Inf(2))) & (Inf(3) | (Inf(4)&Inf(5))) & (Fin(6)|Fin(7)|Fin(8)),ltlcross
72,0.20043568895198405,0.09728058619657531,0.018195595100405627,0.01810649085091427,0.01811992784787435,0.09841844680486247,TTTTTT,27,184,1,1,1,27,6,(Inf(0) | (Fin(1) & Inf(2))) & Fin(3) & (Inf(4) | Fin(5)),ltlcross
73,0.20116230798885226,0.09796967660076916,0.018198521598242222,0.01800161240098532,0.01799359415017534,0.12215384899172932,TTTTTT,27,184,1,1,1,27,6,(Inf(0) | (Fin(1) & Inf(2))) & Fin(3) & (Inf(4) | Fin(5)),ltlcross
74,0.1570394544978626,0.13263548800023273,0.01563786689948756,0.0148821715003578,0.014826937249745242,0.006523742099525407,TTTTTT,1,16,1,1,1,1,8,((Fin(0) & (Fin(1)|Fin(2)|Fin(3))) | (Inf(0)&Inf(1)&Inf(2)&Inf(3))) & (Inf(4) | (Inf(5)&Inf(6)&Inf(7))) & (Fin(4)|Fin(5)|Fin(6)|Fin(7)),ltlcross
75,0.28100815298967063,0.10413144700578414,0.02322621479979716,0.022917421901365743,0.02298752199858427,0.32836855098139495,TTTTTT,42,672,1,1,1,42,6,((Fin(0) & (Fin(1)|Fin(2)|Fin(3))) | (Inf(0)&Inf(1)&Inf(2)&Inf(3))) & Fin(4) & Inf(5),ltlcross
76,0.1594288389896974,0.1335947219922673,0.015946767348214052,0.015371457900619135,0.015482437302125618,0.006668394879670814,TTTTTT,1,16,1,1,1,1,12,((Fin(0) & (Fin(1)|Fin(2)|Fin(3))) | (Inf(0)&Inf(1)&Inf(2)&Inf(3))) & (Fin(4)|Fin(5)|Fin(6)|Fin(7)) & (Inf(8) | (Inf(9)&Inf(10)&Inf(11))),ltlcross
77,0.46599376189988106,0.16266992798773572,0.038364463404286654,0.03832437390228734,0.03835188890225254,0.5407958260038868,TTTTTT,57,912,1,1,1,57,7,((Fin(0) & (Fin(1)|Fin(2)|Fin(3))) | (Inf(0)&Inf(1)&Inf(2)&Inf(3))) & Fin(4) & (Inf(5) | Fin(6)),ltlcross
78,0.4902882499154657,0.211263473960571,0.050782759999856354,0.051404610194731505,0.05074490059632808,0.3217904640478082,TTTTTT,19,304,1,1,1,19,6,(Inf(0) | Fin(1)) & (Inf(2) | (Inf(3)&Inf(4)&Inf(5))) & (Fin(2)|Fin(3)|Fin(4)|Fin(5)),ltlcross
79,0.3896878350060433,0.16132177400868386,0.036001672601560133,0.0356382580997888,0.03533556199981831,0.3964129319647327,TTTTTT,96,1435,2,1,1,95,4,(Inf(0) | Fin(1)) & Fin(2) & Inf(3),ltlcross
